arc_model,baseline_set,N,budget_mps,horizon_days,baseline,candidate_count,overestimation_count,overestimation_rate,underestimation_count,underestimation_rate,excess_0_count,excess_1_count,excess_2_count,excess_ge3_count,max_excess,min_excess
v2_two_edge,v2_repaired,16,25,30,EQUAL_SECTOR,2000,1239,0.61950000000000005,0,0,761,812,346,81,4,0
v2_two_edge,v2_repaired,16,25,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,25,30,LINEAR_MIN,2000,15,0.0074999999999999997,0,0,1985,15,0,0,1,0
v2_two_edge,v2_repaired,16,25,30,SPAN_CEIL_CAPPED,2000,1759,0.87949999999999995,0,0,241,564,651,544,6,0
v2_two_edge,v2_repaired,16,25,60,EQUAL_SECTOR,2000,1634,0.81699999999999995,0,0,366,745,603,286,5,0
v2_two_edge,v2_repaired,16,25,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,25,60,LINEAR_MIN,2000,54,0.027,0,0,1946,54,0,0,1,0
v2_two_edge,v2_repaired,16,25,60,SPAN_CEIL_CAPPED,2000,1985,0.99250000000000005,0,0,15,120,395,1470,7,0
v2_two_edge,v2_repaired,16,25,90,EQUAL_SECTOR,2000,1778,0.88900000000000001,0,0,222,618,659,501,6,0
v2_two_edge,v2_repaired,16,25,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,25,90,LINEAR_MIN,2000,94,0.047,0,0,1906,94,0,0,1,0
v2_two_edge,v2_repaired,16,25,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,18,80,1902,8,1
v2_two_edge,v2_repaired,16,50,30,EQUAL_SECTOR,2000,1634,0.81699999999999995,0,0,366,744,604,286,5,0
v2_two_edge,v2_repaired,16,50,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,50,30,LINEAR_MIN,2000,54,0.027,0,0,1946,54,0,0,1,0
v2_two_edge,v2_repaired,16,50,30,SPAN_CEIL_CAPPED,2000,1985,0.99250000000000005,0,0,15,120,394,1471,7,0
v2_two_edge,v2_repaired,16,50,60,EQUAL_SECTOR,2000,1848,0.92400000000000004,0,0,152,537,699,612,6,0
v2_two_edge,v2_repaired,16,50,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,50,60,LINEAR_MIN,2000,136,0.068000000000000005,0,0,1864,136,0,0,1,0
v2_two_edge,v2_repaired,16,50,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,2,9,1989,9,1
v2_two_edge,v2_repaired,16,50,90,EQUAL_SECTOR,2000,1920,0.95999999999999996,0,0,80,396,663,861,6,0
v2_two_edge,v2_repaired,16,50,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,50,90,LINEAR_MIN,2000,235,0.11749999999999999,0,0,1765,235,0,0,1,0
v2_two_edge,v2_repaired,16,50,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,11,3
v2_two_edge,v2_repaired,16,75,30,EQUAL_SECTOR,2000,1681,0.84050000000000002,0,0,319,769,620,292,5,0
v2_two_edge,v2_repaired,16,75,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,75,30,LINEAR_MIN,2000,59,0.029499999999999998,0,0,1941,59,0,0,1,0
v2_two_edge,v2_repaired,16,75,30,SPAN_CEIL_CAPPED,2000,1988,0.99399999999999999,0,0,12,77,318,1593,8,0
v2_two_edge,v2_repaired,16,75,60,EQUAL_SECTOR,2000,1877,0.9385,0,0,123,431,719,727,6,0
v2_two_edge,v2_repaired,16,75,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,75,60,LINEAR_MIN,2000,150,0.074999999999999997,0,0,1850,150,0,0,1,0
v2_two_edge,v2_repaired,16,75,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,2,1998,9,2
v2_two_edge,v2_repaired,16,75,90,EQUAL_SECTOR,2000,1923,0.96150000000000002,0,0,77,394,707,822,6,0
v2_two_edge,v2_repaired,16,75,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,16,75,90,LINEAR_MIN,2000,271,0.13550000000000001,0,0,1729,271,0,0,1,0
v2_two_edge,v2_repaired,16,75,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,3,1997,10,2
v2_two_edge,v2_repaired,24,25,30,EQUAL_SECTOR,2000,1757,0.87849999999999995,0,0,243,627,633,497,6,0
v2_two_edge,v2_repaired,24,25,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,25,30,LINEAR_MIN,2000,27,0.0135,0,0,1973,27,0,0,1,0
v2_two_edge,v2_repaired,24,25,30,SPAN_CEIL_CAPPED,2000,1994,0.997,0,0,6,77,263,1654,10,0
v2_two_edge,v2_repaired,24,25,60,EQUAL_SECTOR,2000,1929,0.96450000000000002,0,0,71,279,566,1084,8,0
v2_two_edge,v2_repaired,24,25,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,25,60,LINEAR_MIN,2000,74,0.036999999999999998,0,0,1926,74,0,0,1,0
v2_two_edge,v2_repaired,24,25,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,3,1997,11,2
v2_two_edge,v2_repaired,24,25,90,EQUAL_SECTOR,2000,1969,0.98450000000000004,0,0,31,179,423,1367,8,0
v2_two_edge,v2_repaired,24,25,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,25,90,LINEAR_MIN,2000,132,0.066000000000000003,0,0,1868,132,0,0,1,0
v2_two_edge,v2_repaired,24,25,90,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,14,4
v2_two_edge,v2_repaired,24,50,30,EQUAL_SECTOR,2000,1929,0.96450000000000002,0,0,71,279,566,1084,8,0
v2_two_edge,v2_repaired,24,50,30,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,50,30,LINEAR_MIN,2000,74,0.036999999999999998,0,0,1926,74,0,0,1,0
v2_two_edge,v2_repaired,24,50,30,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,3,1997,11,2
v2_two_edge,v2_repaired,24,50,60,EQUAL_SECTOR,2000,1978,0.98899999999999999,0,0,22,164,398,1416,8,0
v2_two_edge,v2_repaired,24,50,60,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
v2_two_edge,v2_repaired,24,50,60,LINEAR_MIN,2000,196,0.098000000000000004,0,0,1804,196,0,0,1,0
v2_two_edge,v2_repaired,24,50,60,SPAN_CEIL_CAPPED,2000,2000,1,0,0,0,0,0,2000,15,6
v2_two_edge,v2_repaired,24,50,90,EQUAL_SECTOR,2000,1986,0.99299999999999999,0,0,14,118,367,1501,8,0
v2_two_edge,v2_repaired,24,50,90,GAP_CUT,2000,0,0,0,0,2000,0,0,0,0,0
