scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,winner_Max_gap_min,winner_K_min
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,11,12,2752,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,60,1447200,v2_two_edge,12,12,3000,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,1,12,252,540,567,1
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,2,12,504,295,345,2
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,3,12,756,97,199,3
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,4,12,1008,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,5,12,1257,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,6,12,1506,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,7,12,1755,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,8,12,2012,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,9,12,2331,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,10,12,2738,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,11,12,2966,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,842400,v2_two_edge,12,12,3000,41,182,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,1,12,252,549,574,1
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,2,12,504,296,330,2
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,3,12,756,97,176,3
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,4,12,1008,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,5,12,1257,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,6,12,1506,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,7,12,1755,40,199,4
evaluated_candidate_set_only_arc_conditioned_pools,12,75,90,1447200,v2_two_edge,8,12,2012,40,199,4
