scope_boundary,N,budget_mps,horizon_days,evaluation_start_offset_sec,arc_model,K_allowed,K_max,n_feasible,frontier_P95_primary_min,previous_frontier_P95_primary_min,delta_P95_min,is_max_improvement_K,max_improvement_K,max_improvement_delta_P95_min
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,8,12,1679,40,40,0,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,9,12,1999,40,40,0,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,10,12,2347,40,40,0,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,11,12,2662,40,40,0,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,25,90,1447200,v2_two_edge,12,12,3000,40,40,0,false,3,210
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,1,12,0,,,,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,2,12,29,558,,,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,3,12,255,327,558,231,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,4,12,387,42,327,285,true,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,5,12,549,42,42,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,6,12,771,42,42,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,7,12,1036,41,42,1,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,8,12,1361,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,9,12,1719,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,10,12,2111,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,11,12,2558,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,842400,v2_two_edge,12,12,3000,41,41,0,false,4,285
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,1,12,0,,,,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,2,12,29,555,,,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,3,12,255,335,555,220,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,4,12,387,42,335,293,true,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,5,12,549,40,42,2,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,6,12,771,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,7,12,1036,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,8,12,1361,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,9,12,1719,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,10,12,2111,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,11,12,2558,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,30,1447200,v2_two_edge,12,12,3000,40,40,0,false,4,293
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,1,12,7,614,,,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,2,12,284,311,614,303,true,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,3,12,437,120,311,191,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,4,12,732,42,120,78,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,5,12,1002,41,42,1,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,6,12,1291,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,7,12,1578,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,8,12,1870,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,9,12,2154,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,10,12,2441,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,11,12,2719,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,842400,v2_two_edge,12,12,3000,41,41,0,false,2,303
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,1,12,7,651,,,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,2,12,284,312,651,339,true,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,3,12,437,100,312,212,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,4,12,732,40,100,60,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,5,12,1002,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,6,12,1291,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,7,12,1578,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,8,12,1870,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,9,12,2154,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,10,12,2441,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,11,12,2719,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,60,1447200,v2_two_edge,12,12,3000,40,40,0,false,2,339
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,1,12,249,540,,,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,2,12,502,295,540,245,true,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,3,12,756,97,295,198,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,4,12,1007,41,97,56,false,2,245
evaluated_candidate_set_only_arc_conditioned_pools,12,50,90,842400,v2_two_edge,5,12,1256,41,41,0,false,2,245
